experiment_number_ID,user_ID,activity_ID,Label_start_point,Label_end_point
wk8,Chi,DAB,290,636
wk8,Chi,SIDE_PUMP,728,1003
wk8,Chi,WIPE_TABLE,1109,1381
wk8,Chi,HAIR,1594,1792
wk8,Chi,KICK_ELBOW,1914,2168
wk8,Chi,POINT_HIGH,2256,2576
wk8,Chi,GUN,2642,2951
wk8,Chi,LISTEN,3064,3359
wk8,Chi,ROLL_HAND,3469,3759
wk8,Chi,DAB,3852,4162
wk8,Chi,SIDE_PUMP,4242,4505
wk8,Chi,WIPE_TABLE,4616,4916
wk8,Chi,HAIR,5014,5343
wk8,Chi,KICK_ELBOW,5409,5701
wk8,Chi,POINT_HIGH,5799,6108
wk8,Chi,GUN,6195,6475
wk8,Chi,LISTEN,6576,6972
wk8,Chi,ROLL_HAND,7068,7375
wk8,Chi,DAB,7459,7777
wk8,Chi,SIDE_PUMP,7781,8096
wk8,Chi,WIPE_TABLE,8222,8506
wk8,Chi,HAIR,8610,8914
wk8,Chi,KICK_ELBOW,9000,9315
wk8,Chi,POINT_HIGH,9417,9689
wk8,Chi,GUN,9779,10079
wk8,Chi,LISTEN,10173,10489
wk8,Chi,ROLL_HAND,10572,10884
wk8(1),Chi,DAB,356,668
wk8(1),Chi,SIDE_PUMP,958,1257
wk8(1),Chi,WIPE_TABLE,1428,1759
wk8(1),Chi,HAIR,2244,2612
wk8(1),Chi,KICK_ELBOW,2802,3091
wk8(1),Chi,POINT_HIGH,3276,3584
wk8(1),Chi,GUN,3769,4065
wk8(1),Chi,LISTEN,4276,4423
wk8(1),Chi,ROLL_HAND,4659,4937
wk8(2),Chi,DAB,483,779
wk8(2),Chi,SIDE_PUMP,984,1276
wk8(2),Chi,WIPE_TABLE,1476,1760
wk8(2),Chi,HAIR,1974,2245
wk8(2),Chi,KICK_ELBOW,2464,2672
wk8(2),Chi,POINT_HIGH,2852,3127
wk8(2),Chi,GUN,3337,3609
wk8(2),Chi,LISTEN,3832,4081
wk8(2),Chi,ROLL_HAND,4316,4607
wk8(2),Chi,DAB,4796,5070
wk8(2),Chi,SIDE_PUMP,5302,5586
wk8(2),Chi,WIPE_TABLE,5780,6044
wk8(2),Chi,HAIR,6233,6552
wk8(2),Chi,KICK_ELBOW,6760,7043
wk8(2),Chi,POINT_HIGH,7223,7531
wk8(2),Chi,GUN,7703,8003
wk8(2),Chi,LISTEN,8169,8520
wk8(2),Chi,ROLL_HAND,8708,8993
wk8(2),Chi,DAB,9170,9461
wk8(2),Chi,SIDE_PUMP,9667,9956
wk8(2),Chi,WIPE_TABLE,10164,10459
wk8(2),Chi,HAIR,10654,10940
wk8(2),Chi,KICK_ELBOW,11090,11405
wk8(2),Chi,POINT_HIGH,11634,11906
wk8(2),Chi,GUN,12107,12388
wk8(2),Chi,LISTEN,12604,12898
wk8(2),Chi,ROLL_HAND,13071,13402
wk6,Jeff,DAB,214,1566
wk6,Jeff,SIDE_PUMP,1787,3041
wk6,Jeff,WIPE_TABLE,3471,5476
wk6,Jeff,HAIR,5686,7786
wk6,Jeff,KICK_ELBOW,8296,9648
wk6,Jeff,POINT_HIGH,10177,11704
wk6,Jeff,GUN,12196,13344
wk6,Jeff,LISTEN,14495,16189
wk6,Jeff,ROLL_HAND,17057,18649
wk6,Nic,DAB,50,646
wk6,Nic,SIDE_PUMP,823,1408
wk6,Nic,WIPE_TABLE,1651,2220
wk6,Nic,HAIR,2417,2996
wk6,Nic,KICK_ELBOW,3186,3570
wk6,Nic,POINT_HIGH,4226,4803
wk6,Nic,GUN,5005,5571
wk6,Nic,LISTEN,5739,6328
wk6,Nic,ROLL_HAND,6519,7091
wk8,Nic,DAB,164,454
wk8,Nic,SIDE_PUMP,541,842
wk8,Nic,WIPE_TABLE,936,1225
wk8,Nic,HAIR,1328,1612
wk8,Nic,KICK_ELBOW,1738,1979
wk8,Nic,POINT_HIGH,2110,2409
wk8,Nic,GUN,2763,2985
wk8,Nic,LISTEN,3088,3390
wk8,Nic,ROLL_HAND,3487,3786
wk8,Nic,DAB,3919,4194
wk8,Nic,SIDE_PUMP,4570,4954
wk8,Nic,WIPE_TABLE,5048,5331
wk8,Nic,HAIR,5434,5737
